word,count
“listen,6
goat,6
lips,6
won,6
knowing,6
bit,6
horns,6
feel,6
comely,6
wrought,6
scolded,6
holes,6
touched,6
actually,6
smooth,6
support,6
build,6
thankful,6
deck,6
fitted,6
omens,6
respectable,6
swam,6
reaches,6
hurricane,6
1,6
victims,6
storm,6
described,6
meaning,6
loud,6
sensible,6
doomed,6
touch,6
mentioned,6
opened,6
comfortable,6
real,6
heap,6
beds,6
vineyard,6
2,6
sacrificing,6
“why,6
travel,6
pressed,6
sacrifices,6
dealt,6
points,6
hounds,6
otherwise,6
seated,6
rejoicing,6
patroclus,6
refuse,6
men’s,6
possibly,6
basin,6
priam,6
dog,6
strung,6
quietly,6
sharp,6
sucking,6
inlaid,6
brooding,6
tomorrow,6
forthwith,6
precious,6
venture,6
ball,6
moved,6
rough,6
rebuked,6
amid,6
redoubtable,6
bury,6
toil,6
antilochus,6
bodies,6
dirty,6
purple,6
iii,6
preface,6
charmed,6
shooting,6
surrounded,6
proud,6
spoil,5
amphimedon,5
helped,5
prose,5
“‘my,5
impossible,5
vultures,5
direction,5
ease,5
advantage,5
drawing,5
season,5
add,5
“meanwhile,5
insulted,5
mad,5
lang,5
aimed,5
across,5
inland,5
expecting,5
athens,5
duty,5
references,5
xxiii,5
maidens,5
herb,5
drugged,5
wrecked,5
shabby,5
excuse,5
stationed,5
followers,5
borrowing,5
remembered,5
“your,5
heaped,5
“sit,5
kids,5
anxious,5
shift,5
equitably,5
armed,5
captain,5
weight,5
noman,5
thebes,5
barren,5
openly,5
weather,5
merely,5
“here,5
recognise,5
drug,5
reigned,5
somebody,5
counselled,5
pointed,5
roasted,5
upwards,5
odysseus,5
allowed,5
geese,5
whirlpool,5
thrinacian,5
beseech,5
horn,5
pale,5
dreams,5
fled,5
carefully,5
wherein,5
hermione,5
suggested,5
play,5
“some,5
weary,5
soul,5
ended,5
stratagem,5
“menelaus,5
bull,5
securely,5
portions,5
several,5
valour,5
thighs,5
raw,5
admirable,5
fastened,5
proofs,5
woman’s,5
hateful,5
heartily,5
rafters,5
minos,5
“son,5
strike,5
yoked,5
uproar,5
“after,5
hanged,5
explain,5
illustrations,5
buried,5
least,5
misery,5
creatures,5
slave,5
143,5
root,5
doom,5
keen,5
141,5
cyprus,5
honey,5
libya,5
wolves,5
‘and,5
straits,5
sell,5
thesprotians,5
deadly,5
effect,5
secret,5
fully,5
iphitus,5
blankets,5
onward,5
watches,5
swords,5
puzzled,5
courtyard,5
afflictions,5
ethiopians,5
promise,5
hundred,5
blade,5
bred,5
hecatomb,5
unseemly,5
bulls,5
explained,5
merry,5
wailing,5
limbs,5
liked,5
masters,5
goatherd,5
tramps,5
doubtless,5
aloft,5
obey,5
blind,5
reaching,5
renown,5
pride,5
disc,5
brine,5
utmost,5
plough,5
δ’,5
vision,5
behaving,5
inspired,5
leather,5
infinite,5
native,5
flower,5
stands,5
prevented,5
becomes,5
prisoner,5
violence,5
horizon,5
future,5
disposition,5
“come,5
matters,5
fortune,5
exceedingly,5
roused,5
fellows,5
s,5
blank,5
butler,5
zacynthus,5
fare,5
possessions,5
sits,5
nausithous,5
almost,5
space,5
tossed,5
stuck,5
cost,5
powerful,5
pear,5
nation,5
alas,5
glory,5
gets,5
serve,5
fruit,5
approach,5
failed,5
precincts,5
prosper,5
excel,5
sick,5
resolved,5
applauded,5
mist,5
unfortunate,5
fathers,5
attempt,5
wishes,5
web,5
neritum,5
rejoice,5
halitherses,5
peg,5
fiercely,5
nostrils,5
art,5
watching,5
anywhere,5
decorated,5
taught,5
inasmuch,5
grass,5
playing,5
lamenting,5
lawful,5
proof,5
barrow,5
outright,5
elis,5
stout,5
shod,5
anoint,5
79,5
137,5
“she,5
badly,5
red,5
roughly,5
supporting,5
check,5
courts,5
distaff,5
attended,5
wondering,5
corpses,5
handmaids,5
thunderbolts,5
yesterday,5
king’s,5
187,5
likeness,5
missing,5
notice,5
opinion,5
masts,5
“eurymachus,5
larger,5
advice,5
156,5
thunder,5
keeps,5
dancers,5
witness,5
hellas,5
trap,5
wreck,5
provide,5
observe,5
sport,5
foolish,5
sturdy,5
countries,5
“king,5
ruled,5
plate,5
lastly,5
wake,5
breaking,5
firm,5
henceforward,5
thinks,5
rays,4
covering,4
beast,4
boars,4
hound,4
lid,4
victory,4
overcome,4
eyelids,4
mares,4
position,4
extreme,4
festivities,4
housekeeper,4
greater,4
invite,4
teeth,4
sand,4
courting,4
mule,4
bedroom,4
drifted,4
sceptre,4
wanderers,4
cupbearer,4
wax,4
determined,4
“by,4
whip,4
dinners,4
panic,4
samos,4
rugged,4
agony,4
eleven,4
sharpened,4
wasting,4
eager,4
fray,4
beard,4
fixed,4
pitied,4
talons,4
